Metabolism	Pathway	Module	KO	gene_name	if_key	NCBIfam	pfam	Refseq	EC	gene function	COG	Taxonomy	Reaction	Note															
Nitrogen cycling	Denitrification	Nitrate -> Nitrite (narG)	K00370	narG	yes					"nitrate reductase / nitrite oxidoreductase, alpha subunit"			Nitrate -> Nitrite																
Nitrogen cycling	Denitrification	Nitrate -> Nitrite (napAB)	K02567	napA	yes				EC:1.9.6.1	nitrate reductase (cytochrome)			Nitrate -> Nitrite																
Nitrogen cycling	Denitrification	Nitrate -> Nitrite (napAB)	K02568	napB					EC:1.9.6.1	"nitrate reductase (cytochrome), electron transfer subunit"			Nitrate -> Nitrite																
Nitrogen cycling	Denitrification;Anammox	Nitrite-> N2O (nirSK)	K15864	nirS	yes					nitrite reductase (NO-forming) / hydroxylamine reductase			Nitrite->Nitric oxide																
Nitrogen cycling	Denitrification	Nitrite-> N2O (nirSK)	K00368	nirK						nitrite reductase (NO-forming)			Nitrite->Nitric oxide																
Nitrogen cycling	Denitrification	NO -> N2O (norBC)	K02305	norC	yes					nitric oxide reductase subunit C	NA	Bacteria	Nitric oxide-> Nitrous oxide																
Nitrogen cycling	Denitrification	NO -> N2O (norBC)	K04561	norB						nitric oxide reductase subunit B	COG3256	Bacteria	Nitric oxide-> Nitrous oxide																
Nitrogen cycling	Denitrification	N2O -> N2 (nosZ)	K00376	nosZ	yes					nitrous-oxide reductase	COG4263	Bacteria	Nitrous oxide->Nitrogen																
Nitrogen cycling	Nitrite reduction to ammonia	Nitrite -> Ammonia (nirBD)	K00362	nirB	yes					nitrite reductase (NADH) large subunit	COG1251	Bacteria		Better annotation: NCycDB															
Nitrogen cycling	Nitrite reduction to ammonia	Nitrite -> Ammonia (nirBD)	K00363	nirD						nitrite reductase (NADH) small subunit	COG2146	Bacteria																	
Nitrogen cycling	Nitrite reduction to ammonia	Nitrite -> Ammonia (nrfAHD)	K03385	nrfA	yes					nitrite reductase (cytochrome c-552)	COG3303	Bacteria																	
Nitrogen cycling	Nitrite reduction to ammonia	Nitrite -> Ammonia (nrfAHD)	K15876	nrfH						cytochrome c nitrite reductase small subunit	COG3005	Bacteria																	
Nitrogen cycling	Nitrite reduction to ammonia	Nitrite -> Ammonia (nrfAHD)	K04015	nrfD						"cytochrome c nitrite reductase, NrfD subunit"																			
Nitrogen cycling	N Fixation (MoFe)	N Fixation (nifHDK)	K02586	nifD						(MoFe) nitrogenase molybdenum-iron protein alpha chain	COG2710	Bacteria/Archaea		FeFe (AnfHDGK) and VFe (VnfHDGK) nitrogenases have lower nitrogenase activity than MoFe (NifHDK) nitrogenases															
Nitrogen cycling	N Fixation (MoFe)	N Fixation (nifHDK)	K02588	nifH	yes					(MoFe) nitrogenase iron protein NifH	COG1348	Bacteria/Archaea																	
Nitrogen cycling	N Fixation (MoFe)	N Fixation (nifHDK)	K02591	nifK						(MoFe) nitrogenase molybdenum-iron protein beta chain	COG2710	Bacteria/Archaea																	
Nitrogen cycling	N Fixation (FeFe)	N Fixation (anfHDGK)	NA	anfH						(FeFe) nitrogenase				hard to distinguish from nifH															
Nitrogen cycling	N Fixation (FeFe)	N Fixation (anfHDGK)	NA	anfD		TIGR01861				(FeFe) nitrogenase																			
