gene	genome	ko	gene_abundance
NC_019977.1_1	MAG_arc001	K10725	20.74
NC_019977.1_2	MAG_arc001	K13280	69.87
NC_019977.1_3	MAG_arc001	K02323	11.08
NC_019977.1_4	MAG_arc001	K16183	161.54
NC_019977.1_5	MAG_arc001	K09667	16.00
NC_019977.1_6	MAG_arc001	K14082	11.20
NC_019977.1_7	MAG_arc001	K05919	17.77
NC_019977.1_8	MAG_arc001		15.49
NC_019977.1_9	MAG_arc001		51.14
NC_019977.1_10	MAG_arc001	K16238	85.55
NC_019977.1_11	MAG_arc001		39.20
NC_019977.1_12	MAG_arc001	K16176	32.91
NC_019977.1_13	MAG_arc001	K16176	14.80
NC_019977.1_14	MAG_arc001	K16177	79.20
NC_019977.1_15	MAG_arc001		33.30
NC_019977.1_16	MAG_arc001		23.72
NC_019977.1_17	MAG_arc001	K00936; K07718; K13533	34.81
NC_019977.1_18	MAG_arc001	K13587; K22010	52.43
NC_019977.1_19	MAG_arc001	K16182	15.89
NC_019977.1_20	MAG_arc001	K16181	33.57
NC_019977.1_21	MAG_arc001	K16180	20.69
NC_019977.1_22	MAG_arc001	K11627	30.22
NC_019977.1_23	MAG_arc001	K01473	71.83
NC_019977.1_24	MAG_arc001	K01473	10.68
NC_019977.1_25	MAG_arc001		34.66
NC_019977.1_26	MAG_arc001	K02491; K21084	51.34
NC_019977.1_27	MAG_arc001	K14083	28.15
NC_019977.1_28	MAG_arc001	K14083	50.16
NC_019977.1_29	MAG_arc001	K14084	96.32
NC_019977.1_30	MAG_arc001		35.93
NC_019977.1_31	MAG_arc001		18.32
NC_019977.1_32	MAG_arc001		72.94
NC_019977.1_33	MAG_arc001	K16179	23.59
NC_019977.1_34	MAG_arc001	K16178	26.02
NC_019977.1_35	MAG_arc001	K16178	47.82
NC_019977.1_36	MAG_arc001	K16177	30.65
NC_019977.1_37	MAG_arc001	K16176	20.23
NC_019977.1_38	MAG_arc001	K16176	57.02
NC_019977.1_39	MAG_arc001	K16176	24.72
NC_019977.1_40	MAG_arc001	K14082	12.32
NC_019977.1_41	MAG_arc001	K15449	57.28
NC_019977.1_42	MAG_arc001	K03265	27.72
NC_019977.1_43	MAG_arc001	K01887	51.05
NC_019977.1_44	MAG_arc001	K01990; K25152	33.59
NC_019977.1_45	MAG_arc001		31.00
NC_019977.1_46	MAG_arc001	K09696	64.12
NC_019977.1_47	MAG_arc001		16.46
NC_019977.1_48	MAG_arc001		66.87
NC_019977.1_49	MAG_arc001		52.68
NC_019977.1_50	MAG_arc001		9.62
NC_019977.1_51	MAG_arc001		37.06
NC_019977.1_52	MAG_arc001		24.87
NC_019977.1_53	MAG_arc001		59.30
NC_019977.1_54	MAG_arc001		36.57
NC_019977.1_55	MAG_arc001	K04795; K14563	31.73
NC_019977.1_56	MAG_arc001	K14564	33.36
NC_019977.1_57	MAG_arc001	K06984	15.28
NC_019977.1_58	MAG_arc001		16.72
NC_019977.1_59	MAG_arc001		27.29
NC_019977.1_60	MAG_arc001	K10844	21.65
NC_019977.1_61	MAG_arc001	K23255	19.05
NC_019977.1_62	MAG_arc001	K07496	112.65
NC_019977.1_63	MAG_arc001		14.63
NC_019977.1_64	MAG_arc001		51.48
NC_019977.1_65	MAG_arc001		33.02
NC_019977.1_66	MAG_arc001		28.30
NC_019977.1_67	MAG_arc001		27.86
NC_019977.1_68	MAG_arc001		28.41
NC_019977.1_69	MAG_arc001	K03547	102.86
NC_019977.1_70	MAG_arc001	K03546	23.69
NC_019977.1_71	MAG_arc001		107.44
NC_019977.1_72	MAG_arc001	K03529	24.50
NC_019977.1_73	MAG_arc001	K05896	22.18
NC_019977.1_74	MAG_arc001	K06024	52.78
NC_019977.1_75	MAG_arc001	K03120	49.67
NC_019977.1_76	MAG_arc001	K00721; K23684	33.96
NC_019977.1_77	MAG_arc001	K22466	19.11
NC_019977.1_78	MAG_arc001	K03183	19.60
NC_019977.1_79	MAG_arc001		16.58
NC_019977.1_80	MAG_arc001		26.91
NC_019977.1_81	MAG_arc001	K14963; K24745	45.71
NC_019977.1_82	MAG_arc001	K07305	19.53
NC_019977.1_83	MAG_arc001		32.90
NC_019977.1_84	MAG_arc001	K06075	22.40
NC_019977.1_85	MAG_arc001	K18908	36.17
NC_019977.1_86	MAG_arc001		109.03
NC_019977.1_87	MAG_arc001		51.53
NC_019977.1_88	MAG_arc001		35.19
NC_019977.1_89	MAG_arc001	K08260	77.45
NC_019977.1_90	MAG_arc001		54.42
NC_019977.1_91	MAG_arc001		82.35
NC_019977.1_92	MAG_arc001		42.65
NC_019977.1_93	MAG_arc001		24.31
NC_019977.1_94	MAG_arc001	K07456	28.57
NC_019977.1_95	MAG_arc001	K01693	56.47
NC_019977.1_96	MAG_arc001	K01814	8.51
NC_019977.1_97	MAG_arc001	K00765	26.05
NC_019977.1_98	MAG_arc001		28.58
NC_019977.1_99	MAG_arc001		14.00
NC_019977.1_100	MAG_arc001		31.24
NC_019977.1_101	MAG_arc001		25.88
NC_019977.1_102	MAG_arc001	K03312	32.90
NC_019977.1_103	MAG_arc001		52.44
NC_019977.1_104	MAG_arc001		11.75
NC_019977.1_105	MAG_arc001	K01883	25.75
NC_019977.1_106	MAG_arc001		39.92
NC_019977.1_107	MAG_arc001	K06942	32.65
NC_019977.1_108	MAG_arc001	K00806; K11778	22.38
NC_019977.1_109	MAG_arc001	K03789	49.85
NC_019977.1_110	MAG_arc001		27.04
NC_019977.1_111	MAG_arc001	K03798	41.02
NC_019977.1_112	MAG_arc001	K06167	78.70
NC_019977.1_113	MAG_arc001		159.72
NC_019977.1_114	MAG_arc001	K09694	16.88
NC_019977.1_115	MAG_arc001	K09695	34.83
NC_019977.1_116	MAG_arc001	K19519	11.49
NC_019977.1_117	MAG_arc001	K02858	43.36
NC_019977.1_118	MAG_arc001	K07732	65.62
NC_019977.1_119	MAG_arc001	K03768	45.04
NC_019977.1_120	MAG_arc001		9.41
NC_019977.1_121	MAG_arc001		44.85
NC_019977.1_122	MAG_arc001		88.27
NC_019977.1_123	MAG_arc001		13.73
NC_019977.1_124	MAG_arc001		69.49
NC_019977.1_125	MAG_arc001		23.59
NC_019977.1_126	MAG_arc001		16.59
NC_019977.1_127	MAG_arc001	K00133	132.47
NC_019977.1_128	MAG_arc001		24.18
NC_019977.1_129	MAG_arc001	K09903	57.42
NC_019977.1_130	MAG_arc001		21.24
NC_019977.1_131	MAG_arc001	K05685; K09808	13.63
NC_019977.1_132	MAG_arc001	K02003	72.65
NC_019977.1_133	MAG_arc001		22.79
NC_019977.1_134	MAG_arc001	K14084	31.57
NC_019977.1_135	MAG_arc001	K00052; K07246	32.04
NC_019977.1_136	MAG_arc001	K01704; K20453	46.55
NC_019977.1_137	MAG_arc001		16.46
NC_019977.1_138	MAG_arc001		33.47
NC_019977.1_139	MAG_arc001	K06863	13.55
NC_019977.1_140	MAG_arc001		4.14
NC_019977.1_141	MAG_arc001	K06173	4.77
NC_019977.1_142	MAG_arc001		76.53
NC_019977.1_143	MAG_arc001	K02656; K09667	95.46
NC_019977.1_144	MAG_arc001	K07446	53.91
NC_019977.1_145	MAG_arc001	K00390; K07398	42.86
NC_019977.1_146	MAG_arc001	K00602	43.88
NC_019977.1_147	MAG_arc001		35.48
NC_019977.1_148	MAG_arc001	K17105	19.10
NC_019977.1_149	MAG_arc001	K15633	17.87
NC_019977.1_150	MAG_arc001	K04799	22.22
NC_019977.1_151	MAG_arc001		13.97
NC_019977.1_152	MAG_arc001		32.54
NC_019977.1_153	MAG_arc001		135.57
NC_019977.1_154	MAG_arc001		39.06
NC_019977.1_155	MAG_arc001	K01271; K08688	15.24
NC_019977.1_156	MAG_arc001	K01265	29.99
NC_019977.1_157	MAG_arc001		38.45
NC_019977.1_158	MAG_arc001		20.02
NC_019977.1_159	MAG_arc001		39.80
NC_019977.1_160	MAG_arc001		33.32
NC_019977.1_161	MAG_arc001		63.17
NC_019977.1_162	MAG_arc001		4.68
NC_019977.1_163	MAG_arc001	K23876	123.16
NC_019977.1_164	MAG_arc001		15.06
NC_019977.1_165	MAG_arc001		45.26
NC_019977.1_166	MAG_arc001		14.17
NC_019977.1_167	MAG_arc001	K00400; K02028	23.94
NC_019977.1_168	MAG_arc001	K17686	25.35
NC_019977.1_169	MAG_arc001		34.72
NC_019977.1_170	MAG_arc001	K00567	25.04
NC_019977.1_171	MAG_arc001	K03738	15.22
NC_019977.1_172	MAG_arc001	K03263	30.70
NC_019977.1_173	MAG_arc001	K01480	14.84
NC_019977.1_174	MAG_arc001		9.66
NC_019977.1_175	MAG_arc001	K00573	29.04
NC_019977.1_176	MAG_arc001	K08999	43.56
NC_019977.1_177	MAG_arc001		48.83
NC_019977.1_178	MAG_arc001	K02500	23.33
NC_019977.1_179	MAG_arc001		33.16
NC_019977.1_180	MAG_arc001	K13283	64.03
NC_019977.1_181	MAG_arc001		23.23
NC_019977.1_182	MAG_arc001		26.28
NC_019977.1_183	MAG_arc001	K08303	54.68
NC_019977.1_184	MAG_arc001	K22928	37.80
NC_019977.1_185	MAG_arc001		29.55
NC_019977.1_186	MAG_arc001	K00568; K18534	12.66
NC_019977.1_187	MAG_arc001	K04566	60.28
NC_019977.1_188	MAG_arc001		30.08
NC_019977.1_189	MAG_arc001	K24865	23.90
NC_019977.1_190	MAG_arc001	K07457; K10773	15.24
NC_019977.1_191	MAG_arc001	K00948	53.63
NC_019977.1_192	MAG_arc001	K03637	156.43
NC_019977.1_193	MAG_arc001		31.16
NC_019977.1_194	MAG_arc001	K23997	43.86
NC_019977.1_195	MAG_arc001	K06881	14.70
NC_019977.1_196	MAG_arc001		31.73
NC_019977.1_197	MAG_arc001	K01703	11.74
NC_019977.1_198	MAG_arc001	K01523	19.93
NC_019977.1_199	MAG_arc001	K07744	33.85
NC_019977.1_200	MAG_arc001	K06943	15.56
NC_019977.1_201	MAG_arc001	K10907	21.36
NC_019977.1_202	MAG_arc001	K08094	36.12
NC_019977.1_203	MAG_arc001		12.17
NC_019977.1_204	MAG_arc001	K09743	26.88
NC_019977.1_205	MAG_arc001	K03595	30.77
NC_019977.1_206	MAG_arc001		18.26
NC_019977.1_207	MAG_arc001		67.43
NC_019977.1_208	MAG_arc001	K03540	38.61
NC_019977.1_209	MAG_arc001		19.51
NC_019977.1_210	MAG_arc001	K00721; K23684	100.97
NC_019977.1_211	MAG_arc001	K13668; K19002	23.90
